month,new_comfirmed,new_cured,new_dead
Feb,3215,106,192
Feb,894,69,32
Feb,1033,53,41
Feb,1242,78,48
Feb,1967,68,49
Feb,1766,81,52
Feb,1501,87,64
Feb,1985,205,67
Feb,1379,131,63
Feb,1920,168,73
Feb,1552,196,67
Feb,1104,138,72
Feb,13436,543,216
Feb,2997,100,-20
Feb,1923,512,107
Feb,1548,390,110
Feb,1690,582,76
Feb,1600,746,72
Feb,1660,787,116
Feb,615,558,88
Feb,319,683,99
Feb,314,1011,90
Feb,541,897,82
Feb,406,761,131
Feb,464,1418,56
Feb,370,1458,42
Feb,383,1646,19
Feb,313,2354,28
Feb,420,1810,37
Mar,565,1940,26
Mar,193,1773,32
Mar,111,1719,25
Mar,114,1822,30
Mar,131,1525,23
Mar,126,1005,23
Mar,74,1116,21
Mar,41,1441,21
Mar,36,1010,19
Mar,17,988,15
Mar,13,1142,19
Mar,8,979,7
Mar,5,1101,6
Mar,4,1268,10
Mar,4,1177,10
Mar,4,790,13
Mar,1,788,11
Mar,1,853,10
Mar,0,693,6
Mar,0,624,3
Mar,0,502,5
Mar,0,463,4
Mar,0,433,9
Mar,1,426,7
Mar,0,473,2
Mar,0,381,5
Mar,0,523,4
Mar,0,360,3
Mar,0,472,5
Mar,0,315,4
Mar,0,264,1
Apr,1,173,5
Apr,0,145,6
Apr,0,141,4
Apr,1,150,4
Apr,0,183,3
Apr,0,69,1
Apr,0,59,0
Apr,0,69,1
Apr,0,45,2
Apr,0,49,1
Apr,0,27,2
Apr,0,17,0
Apr,0,57,2
Apr,0,25,0
Apr,0,39,0
Apr,0,33,0
Apr,325,-948,1290
Apr,0,7,0
Apr,0,13,0
Apr,0,4,0
Apr,0,3,0
Apr,0,5,0
Apr,0,28,0
Apr,0,22,0
Apr,0,24,0
Apr,0,11,0
Apr,0,12,0
