updateDate,alive_but_infected_count_
1/24,441
1/25,502
1/26,533
1/27,593
1/28,1458
1/29,1747
1/30,2078
1/31,2377
2/1,2917
2/2,3710
2/3,4649
2/4,5765
2/5,7615
2/6,9248
2/7,10598
2/8,12311
2/9,13496
2/10,15175
2/11,16464
2/12,17358
2/13,30035
2/14,32952
2/15,34256
2/16,35304
2/17,36336
2/18,37118
2/19,37875
2/20,37844
2/21,37381
2/22,36594
2/23,36156
2/24,35670
2/25,34660
2/26,33530
2/27,32248
2/28,30179
2/29,28752
3/1,27351
3/2,25739
3/3,24106
3/4,22368
3/5,20951
3/6,20049
3/7,18986
3/8,17565
3/9,16572
3/10,15586
3/11,14438
3/12,13460
3/13,12358
3/14,11084
3/15,9901
3/16,9102
3/17,8304
3/18,7442
3/19,6743
3/20,6116
3/21,5609
3/22,5142
3/23,4700
3/24,4268
3/25,3793
3/26,3407
3/27,2880
3/28,2517
3/29,2040
3/30,1721
3/31,1456
4/1,1279
4/2,1128
4/3,983
4/4,830
4/5,644
4/6,574
4/7,515
4/8,445
4/9,398
4/10,348
4/11,319
4/12,302
4/13,243
4/14,218
4/15,179
4/16,146
4/17,129
4/18,122
4/19,109
4/20,105
4/21,102
4/22,97
4/23,69
4/24,47
4/25,23
4/26,12
4/27,0
5/10,1
5/11,6
5/19,7
5/25,6
5/27,5
5/30,4
6/1,3
6/5,0
