Year,Country Name,Forest area (sq. km)
1991,China,1591265.9
1991,Japan,249426
1992,Japan,249352
1992,China,1611125.8
1993,China,1630985.7
1993,Japan,249278
1994,Japan,249204
1994,China,1650845.6
1995,Japan,249130
1995,China,1670705.5
1996,China,1690565.4
1996,Japan,249056
1997,China,1710425.3
1997,Japan,248982
1998,Japan,248908
1998,China,1730285.2
1999,Japan,248834
1999,China,1750145.1
2000,China,1770005
2000,Japan,248760
2001,Japan,248878
2001,China,1802091.8
2002,China,1834178.6
2002,Japan,248996
2003,China,1866265.4
2003,Japan,249114
2004,Japan,249232
2004,China,1898352.2
2005,Japan,249350
2005,China,1930439
2006,Japan,249412
2006,China,1945571.8
2007,China,1960704.6
2007,Japan,249474
2008,China,1975837.4
2008,Japan,249536
2009,Japan,249598
2009,China,1990970.2
2010,China,2006103
2010,Japan,249660
2011,Japan,249644
2011,China,2021525
2012,Japan,249628
2012,China,2036947
2013,Japan,249612
2013,China,2052369
2014,China,2067791
2014,Japan,249596
2015,China,2083213
2015,Japan,249580
